Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.08     0.00      600     0.00     0.00  std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::operator[](unsigned long)
  0.00      0.08     0.00      600     0.00     0.00  AntT* const& std::__get_helper<0ul, AntT*, std::default_delete<AntT> >(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> > const&)
  0.00      0.08     0.00      600     0.00     0.00  std::tuple_element<0ul, std::tuple<AntT*, std::default_delete<AntT> > >::type const& std::get<0ul, AntT*, std::default_delete<AntT> >(std::tuple<AntT*, std::default_delete<AntT> > const&)
  0.00      0.08     0.00      487     0.00     0.00  void std::_Destroy<Position*>(Position*, Position*)
  0.00      0.08     0.00      484     0.00     0.00  std::vector<Position, std::allocator<Position> >::back()
  0.00      0.08     0.00      442     0.00     0.00  Position::operator==(Position const&) const
  0.00      0.08     0.00      412     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.08     0.00      400     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      0.08     0.00      400     0.00     0.00  std::vector<Position, std::allocator<Position> >::operator[](unsigned long) const
  0.00      0.08     0.00      400     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.08     0.00      400     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.08     0.00      400     0.00     0.00  std::log(long double)
  0.00      0.08     0.00      341     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.08     0.00      320     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      0.08     0.00      320     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00      0.08     0.00      293     0.00     0.00  std::__new_allocator<Position>::~__new_allocator()
  0.00      0.08     0.00      287     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::~_Vector_impl()
  0.00      0.08     0.00      287     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::~_Vector_base()
  0.00      0.08     0.00      287     0.00     0.00  std::vector<Position, std::allocator<Position> >::~vector()
  0.00      0.08     0.00      273     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      0.08     0.00      236     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.08     0.00      231     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::_Vector_impl()
  0.00      0.08     0.00      231     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_base()
  0.00      0.08     0.00      231     0.00     0.00  std::vector<Position, std::allocator<Position> >::vector()
  0.00      0.08     0.00      221     0.00     0.00  Position& std::vector<Position, std::allocator<Position> >::emplace_back<Position>(Position&&)
  0.00      0.08     0.00      221     0.00     0.00  std::vector<Position, std::allocator<Position> >::push_back(Position&&)
  0.00      0.08     0.00      210     0.00     0.00  std::vector<Position, std::allocator<Position> >::_M_erase_at_end(Position*)
  0.00      0.08     0.00      210     0.00     0.00  std::vector<Position, std::allocator<Position> >::clear()
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      0.08     0.00      206     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.08     0.00      206     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.08     0.00      206     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.08     0.00      206     0.00     0.00  std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::end()
  0.00      0.08     0.00      206     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.08     0.00      206     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.08     0.00      202     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      0.08     0.00      202     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00      0.08     0.00      201     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.08     0.00      201     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00      0.08     0.00      201     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00      0.08     0.00      201     0.00     0.00  void std::_Construct<double>(double*)
  0.00      0.08     0.00      201     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.08     0.00      201     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.08     0.00      201     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      0.08     0.00      201     0.00     0.00  void std::__fill_a1<double*, double>(double*, double*, double const&)
  0.00      0.08     0.00      200     0.00     0.00  AntT::restartPath()
  0.00      0.08     0.00      200     0.00   250.04  AntT::findSolution()
  0.00      0.08     0.00      200     0.00   250.04  AntT::nextPosition(Position const&)
