Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.13      2.02     2.02   289056     0.01     0.02  AntT::isAllowed(Position const&, Position const&)
 21.42      3.41     1.39                             _init
 17.11      4.52     1.11 1737914251     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const
 13.41      5.39     0.87 1158598008     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long)
  8.32      5.93     0.54 1158598168     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  4.78      6.24     0.31 579294076     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  3.24      6.45     0.21       20    10.50    10.50  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.15      6.46     0.01    94153     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.15      6.47     0.01    41293     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_allocate(unsigned long)
  0.15      6.48     0.01    41251     0.00     0.00  void std::vector<Position, std::allocator<Position> >::_M_realloc_append<Position const&>(Position const&)
  0.08      6.49     0.01  2930475     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.08      6.49     0.01  2286493     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      6.49     0.00  1245518     0.00     0.00  std::vector<Position, std::allocator<Position> >::size() const
  0.00      6.49     0.00   791618     0.00     0.00  std::vector<Position, std::allocator<Position> >::operator[](unsigned long)
  0.00      6.49     0.00   616245     0.00     0.00  operator new(unsigned long, void*)
  0.00      6.49     0.00   351045     0.00     0.00  void std::__relocate_object_a<Position, Position, std::allocator<Position> >(Position*, Position*, std::allocator<Position>&)
  0.00      6.49     0.00   295693     0.00     0.00  Position::Position(int, int)
  0.00      6.49     0.00   267106     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.00      6.49     0.00   267084     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      6.49     0.00   264494     0.00     0.00  GraphT::distance(Position const&, Position const&)
  0.00      6.49     0.00   258471     0.00     0.00  std::vector<Position, std::allocator<Position> >::push_back(Position const&)
  0.00      6.49     0.00   252342     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      6.49     0.00    82564     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator() const
  0.00      6.49     0.00    82545     0.00     0.00  std::vector<Position, std::allocator<Position> >::_S_max_size(std::allocator<Position> const&)
  0.00      6.49     0.00    82544     0.00     0.00  std::vector<Position, std::allocator<Position> >::max_size() const
  0.00      6.49     0.00    47482     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_get_Tp_allocator()
  0.00      6.49     0.00    47419     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.49     0.00    41708     0.00     0.00  std::vector<Position, std::allocator<Position> >::end()
  0.00      6.49     0.00    41318     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_deallocate(Position*, unsigned long)
  0.00      6.49     0.00    41293     0.00     0.00  std::__new_allocator<Position>::deallocate(Position*, unsigned long)
  0.00      6.49     0.00    41293     0.00     0.00  std::__new_allocator<Position>::allocate(unsigned long, void const*)
  0.00      6.49     0.00    41272     0.00     0.00  std::vector<Position, std::allocator<Position> >::_M_check_len(unsigned long, char const*) const
