Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.98     0.00     6478     0.00     0.00  std::vector<Position, std::allocator<Position> >::begin() const
  0.00      5.98     0.00     6458     0.00     0.00  std::vector<Position, std::allocator<Position> >::empty() const
  0.00      5.98     0.00     6240     0.00     0.00  Position::operator==(Position const&) const
  0.00      5.98     0.00     6189     0.00     0.00  void std::_Destroy<Position*>(Position*, Position*)
  0.00      5.98     0.00     6111     0.00     0.00  std::__new_allocator<Position>::~__new_allocator()
  0.00      5.98     0.00     6089     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::~_Vector_impl()
  0.00      5.98     0.00     6089     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::~_Vector_base()
  0.00      5.98     0.00     6089     0.00     0.00  std::vector<Position, std::allocator<Position> >::~vector()
  0.00      5.98     0.00     6064     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl_data::_Vector_impl_data()
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      5.98     0.00     6044     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      5.98     0.00     6044     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      5.98     0.00     6044     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      5.98     0.00     6044     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      5.98     0.00     6044     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      5.98     0.00     6043     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::_Vector_impl()
  0.00      5.98     0.00     6043     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_base()
  0.00      5.98     0.00     6043     0.00     0.00  std::vector<Position, std::allocator<Position> >::vector()
  0.00      5.98     0.00     6024     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      5.98     0.00     6024     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00      5.98     0.00     6023     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      5.98     0.00     6023     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00      5.98     0.00     6023     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00      5.98     0.00     6023     0.00     0.00  void std::_Construct<double>(double*)
  0.00      5.98     0.00     6023     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      5.98     0.00     6023     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      5.98     0.00     6023     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
