Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     17.99     0.00        1     0.00     0.00  std::vector<Position, std::allocator<Position> >* std::__do_uninit_fill_n<std::vector<Position, std::allocator<Position> >*, unsigned long, std::vector<Position, std::allocator<Position> > >(std::vector<Position, std::allocator<Position> >*, unsigned long, std::vector<Position, std::allocator<Position> > const&)
  0.00     17.99     0.00        1     0.00     1.05  std::vector<bool, std::allocator<bool> >* std::__do_uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&)
  0.00     17.99     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >* std::__do_uninit_fill_n<std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > const&)
  0.00     17.99     0.00        1     0.00     0.00  double* std::__do_uninit_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     17.99     0.00        1     0.00     0.00  std::pair<int, int>* std::uninitialized_copy<std::pair<int, int> const*, std::pair<int, int>*>(std::pair<int, int> const*, std::pair<int, int> const*, std::pair<int, int>*)
  0.00     17.99     0.00        1     0.00     0.00  Position* std::uninitialized_fill_n<Position*, unsigned long, Position>(Position*, unsigned long, Position const&)
  0.00     17.99     0.00        1     0.00     0.00  std::vector<Position, std::allocator<Position> >* std::uninitialized_fill_n<std::vector<Position, std::allocator<Position> >*, unsigned long, std::vector<Position, std::allocator<Position> > >(std::vector<Position, std::allocator<Position> >*, unsigned long, std::vector<Position, std::allocator<Position> > const&)
  0.00     17.99     0.00        1     0.00     1.05  std::vector<bool, std::allocator<bool> >* std::uninitialized_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&)
  0.00     17.99     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >* std::uninitialized_fill_n<std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > const&)
  0.00     17.99     0.00        1     0.00     0.00  double* std::uninitialized_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     17.99     0.00        1     0.00     0.00  std::pair<int, int>* std::__uninitialized_copy_a<std::pair<int, int> const*, std::pair<int, int> const*, std::pair<int, int>*, std::pair<int, int> >(std::pair<int, int> const*, std::pair<int, int> const*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.00     17.99     0.00        1     0.00     0.00  Position* std::__uninitialized_fill_n_a<Position*, unsigned long, Position, Position>(Position*, unsigned long, Position const&, std::allocator<Position>&)
  0.00     17.99     0.00        1     0.00     0.00  std::vector<Position, std::allocator<Position> >* std::__uninitialized_fill_n_a<std::vector<Position, std::allocator<Position> >*, unsigned long, std::vector<Position, std::allocator<Position> >, std::vector<Position, std::allocator<Position> > >(std::vector<Position, std::allocator<Position> >*, unsigned long, std::vector<Position, std::allocator<Position> > const&, std::allocator<std::vector<Position, std::allocator<Position> > >&)
  0.00     17.99     0.00        1     0.00     1.05  std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n_a<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > >&)
  0.00     17.99     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >* std::__uninitialized_fill_n_a<std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*, unsigned long, std::vector<double, std::allocator<double> > const&, std::allocator<std::vector<double, std::allocator<double> > >&)
  0.00     17.99     0.00        1     0.00     0.00  double* std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00     17.99     0.00        1     0.00     0.00  void std::_Destroy<std::unique_ptr<AntT, std::default_delete<AntT> >*>(std::unique_ptr<AntT, std::default_delete<AntT> >*, std::unique_ptr<AntT, std::default_delete<AntT> >*)
  0.00     17.99     0.00        1     0.00     0.00  void std::_Destroy<std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2025 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.06% of 17.99 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     78.2    0.00   14.06                 main [1]
                0.00   12.28     100/100         AntT::findSolution() [2]
                0.00    1.28       1/1           GraphT::GraphT(int) [11]
                0.00    0.46     100/100         AntT::restartPath() [30]
                0.00    0.05      10/10          std::__detail::_MakeUniq<AntT>::__single_object std::make_unique<AntT, GraphT*, int&, double&, double&>(GraphT*&&, int&, double&, double&) [46]
                0.00    0.00     100/100         GraphT::updateTdiValues(std::vector<Position, std::allocator<Position> > const&) [56]
                0.00    0.00     118/298726      std::vector<Position, std::allocator<Position> >::push_back(Position const&) [42]
                0.00    0.00      10/10          std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::push_back(std::vector<Position, std::allocator<Position> >&&) [64]
                0.00    0.00      11/111         std::vector<Position, std::allocator<Position> >::push_back(Position&&) [58]
                0.00    0.00       1/11270       std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [47]
                0.00    0.00       1/1           std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::reserve(unsigned long) [74]
                0.00    0.00      11/2588678     std::vector<double, std::allocator<double> >::operator[](unsigned long) [55]
                0.00    0.00       1/312526      std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) [54]
                0.00    0.00       1/1           GraphT::~GraphT() [105]
                0.00    0.00     672/682         std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::back() [184]
                0.00    0.00     354/922768      std::vector<Position, std::allocator<Position> >::operator[](unsigned long) [112]
                0.00    0.00     300/300         std::unique_ptr<AntT, std::default_delete<AntT> >::operator->() const [195]
                0.00    0.00     300/300         std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::operator[](unsigned long) [199]
                0.00    0.00     247/458         std::vector<Position, std::allocator<Position> >::back() [189]
                0.00    0.00     129/11498       Position::operator==(Position const&) const [142]
                0.00    0.00     129/1551430     std::vector<Position, std::allocator<Position> >::size() const [111]
                0.00    0.00     118/4170        std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::operator[](unsigned long) [178]
                0.00    0.00     118/309996      GraphT::distance(Position const&, Position const&) [117]
                0.00    0.00      12/552796      Position::Position(int, int) [114]
                0.00    0.00      11/11290       std::vector<Position, std::allocator<Position> >::vector() [163]
                0.00    0.00      11/11336       std::vector<Position, std::allocator<Position> >::~vector() [147]
                0.00    0.00      10/10          std::unique_ptr<AntT, std::default_delete<AntT> >& std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::emplace_back<std::unique_ptr<AntT, std::default_delete<AntT> > >(std::unique_ptr<AntT, std::default_delete<AntT> >&&) [271]
                0.00    0.00      10/20          std::unique_ptr<AntT, std::default_delete<AntT> >::~unique_ptr() [233]
                0.00    0.00       1/2           std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::vector() [324]
                0.00    0.00       1/33853       std::__new_allocator<double>::~__new_allocator() [132]
                0.00    0.00       1/1           std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::vector() [408]
                0.00    0.00       1/1           std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::~vector() [409]
                0.00    0.00       1/11291       std::vector<double, std::allocator<double> >::~vector() [159]
                0.00    0.00       1/4           std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::~vector() [300]
-----------------------------------------------
                0.00   12.28     100/100         main [1]
[2]     68.2    0.00   12.28     100         AntT::findSolution() [2]
                0.00   12.27   11269/11269       AntT::nextPosition(Position const&) [3]
                0.00    0.01   11269/298726      std::vector<Position, std::allocator<Position> >::push_back(Position const&) [42]
                0.00    0.00     100/111         std::vector<Position, std::allocator<Position> >::push_back(Position&&) [58]
                0.00    0.00   45176/922768      std::vector<Position, std::allocator<Position> >::operator[](unsigned long) [112]
                0.00    0.00   22538/1551430     std::vector<Position, std::allocator<Position> >::size() const [111]
                0.00    0.00   11369/11498       Position::operator==(Position const&) const [142]
                0.00    0.00   11269/309996      GraphT::distance(Position const&, Position const&) [117]
                0.00    0.00     200/552796      Position::Position(int, int) [114]
-----------------------------------------------
                0.00   12.27   11269/11269       AntT::findSolution() [2]
[3]     68.2    0.00   12.27   11269         AntT::nextPosition(Position const&) [3]
                2.42    9.66  540912/540912      AntT::isAllowed(Position const&, Position const&) [4]
                0.00    0.16  287339/298726      std::vector<Position, std::allocator<Position> >::push_back(Position const&) [42]
                0.00    0.02   11269/11270       std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [47]
                0.00    0.00  287339/312526      std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) [54]
                0.00    0.00 2563902/2588678     std::vector<double, std::allocator<double> >::operator[](unsigned long) [55]
                0.00    0.00  729911/3319030     std::vector<double, std::allocator<double> >::size() const [53]
                0.00    0.00  873186/922768      std::vector<Position, std::allocator<Position> >::operator[](unsigned long) [112]
                0.00    0.00  552181/552796      Position::Position(int, int) [114]
                0.00    0.00  309877/1551430     std::vector<Position, std::allocator<Position> >::size() const [111]
                0.00    0.00  287339/309996      GraphT::distance(Position const&, Position const&) [117]
                0.00    0.00   11269/11290       std::vector<Position, std::allocator<Position> >::vector() [163]
                0.00    0.00   11269/11727       std::vector<Position, std::allocator<Position> >::empty() const [141]
                0.00    0.00   11269/33853       std::__new_allocator<double>::~__new_allocator() [132]
                0.00    0.00   11269/11269       std::uniform_real_distribution<double>::uniform_real_distribution(double, double) [171]
                0.00    0.00   11269/11269       double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [172]
                0.00    0.00   11269/11291       std::vector<double, std::allocator<double> >::~vector() [159]
                0.00    0.00   11269/11336       std::vector<Position, std::allocator<Position> >::~vector() [147]
                0.00    0.00     100/458         std::vector<Position, std::allocator<Position> >::back() [189]
-----------------------------------------------
                2.42    9.66  540912/540912      AntT::nextPosition(Position const&) [3]
[4]     67.1    2.42    9.66  540912         AntT::isAllowed(Position const&, Position const&) [4]
                0.62    3.50 664209442/664209539     std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [6]
                0.45    2.60 664230846/1328440405     std::vector<bool, std::allocator<bool> >::size() const [5]
                0.76    0.80 1328440288/1328440385     std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long) [10]
                0.40    0.00 664250750/1992691135     std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::size() const [14]
                0.35    0.00 664209442/664209842     std::_Bit_reference::operator bool() const [33]
                0.18    0.00  343034/343034      double const& std::max<double>(double const&, double const&) [38]
-----------------------------------------------
                0.00    0.00      20/1328440405     std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [17]
                0.45    2.60 664209539/1328440405     std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [6]
                0.45    2.60 664230846/1328440405     AntT::isAllowed(Position const&, Position const&) [4]
[5]     33.9    0.90    5.20 1328440405         std::vector<bool, std::allocator<bool> >::size() const [5]
                1.20    1.02 1328440405/1328440425     std::vector<bool, std::allocator<bool> >::end() const [8]
                0.56    1.14 1328440405/1328440425     std::vector<bool, std::allocator<bool> >::begin() const [9]
                1.28    0.00 1328440405/1328440405     std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&) [13]
-----------------------------------------------
                0.00    0.00      97/664209539     GraphT::generateGraphT(int) [12]
                0.62    3.50 664209442/664209539     AntT::isAllowed(Position const&, Position const&) [4]
[6]     22.9    0.62    3.50 664209539         std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [6]
                0.45    2.60 664209539/1328440405     std::vector<bool, std::allocator<bool> >::size() const [5]
                0.46    0.00 664209539/664210339     std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [31]
-----------------------------------------------
                                                 <spontaneous>
[7]     21.8    3.93    0.00                 _init [7]
-----------------------------------------------
                0.00    0.00      20/1328440425     std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [17]
                1.20    1.02 1328440405/1328440425     std::vector<bool, std::allocator<bool> >::size() const [5]
[8]     12.3    1.20    1.02 1328440425         std::vector<bool, std::allocator<bool> >::end() const [8]
                0.67    0.36 1328440425/1328440425     std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&) [23]
-----------------------------------------------
                0.00    0.00      20/1328440425     std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [17]
                0.56    1.14 1328440405/1328440425     std::vector<bool, std::allocator<bool> >::size() const [5]
[9]      9.4    0.56    1.14 1328440425         std::vector<bool, std::allocator<bool> >::begin() const [9]
                0.79    0.36 1328440425/1328440445     std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [15]
-----------------------------------------------
                0.00    0.00      97/1328440385     GraphT::generateGraphT(int) [12]
                0.76    0.80 1328440288/1328440385     AntT::isAllowed(Position const&, Position const&) [4]
[10]     8.7    0.76    0.80 1328440385         std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long) [10]
                0.80    0.00 1328440385/1992691135     std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::size() const [14]
-----------------------------------------------
                0.00    1.28       1/1           main [1]
[11]     7.1    0.00    1.28       1         GraphT::GraphT(int) [11]
                0.00    1.28       1/1           GraphT::generateGraphT(int) [12]
                0.00    0.00       1/1           GraphT::restartTdiValues() [60]
                0.00    0.00       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::vector() [401]
                0.00    0.00       1/1           std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::vector() [405]
                0.00    0.00       1/2           std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::vector() [324]
-----------------------------------------------
                0.00    1.28       1/1           GraphT::GraphT(int) [11]
[12]     7.1    0.00    1.28       1         GraphT::generateGraphT(int) [12]
                0.00    1.05       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::vector(unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [16]
                0.11    0.00       1/1           std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end() [44]
                0.11    0.00      97/497         std::_Bit_reference::operator=(bool) [28]
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&) [50]
                0.00    0.00       1/1           std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::vector(unsigned long, std::vector<double, std::allocator<double> > const&, std::allocator<std::vector<double, std::allocator<double> > > const&) [67]
                0.00    0.00       1/1           std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::vector(std::initializer_list<std::pair<int, int> >, std::allocator<std::pair<int, int> > const&) [78]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&) [83]
                0.00    0.00       1/1           std::vector<Position, std::allocator<Position> >::vector(unsigned long, Position const&, std::allocator<Position> const&) [80]
                0.00    0.00       1/1           std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::vector(unsigned long, std::vector<Position, std::allocator<Position> > const&, std::allocator<std::vector<Position, std::allocator<Position> > > const&) [82]
                0.00    0.00      97/664209539     std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [6]
                0.00    0.00      97/1328440385     std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long) [10]
                0.00    0.00       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator=(std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >&&) [107]
                0.00    0.00       1/3           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::~vector() [102]
                0.00    0.00       1/21          std::vector<bool, std::allocator<bool> >::~vector() [100]
                0.00    0.00       1/6           std::__new_allocator<std::vector<bool, std::allocator<bool> > >::~__new_allocator() [288]
                0.00    0.00       1/21          std::__new_allocator<bool>::~__new_allocator() [225]
                0.00    0.00       1/3           std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::~vector() [310]
                0.00    0.00       1/1           std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator=(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&&) [406]
                0.00    0.00       1/11291       std::vector<double, std::allocator<double> >::~vector() [159]
                0.00    0.00       1/33853       std::__new_allocator<double>::~__new_allocator() [132]
                0.00    0.00       1/6           std::__new_allocator<std::vector<double, std::allocator<double> > >::~__new_allocator() [289]
                0.00    0.00       1/552796      Position::Position(int, int) [114]
                0.00    0.00       1/1           std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::operator=(std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >&&) [400]
                0.00    0.00       1/4           std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::~vector() [300]
                0.00    0.00       1/11336       std::vector<Position, std::allocator<Position> >::~vector() [147]
                0.00    0.00       1/11358       std::__new_allocator<Position>::~__new_allocator() [144]
                0.00    0.00       1/7           std::__new_allocator<std::vector<Position, std::allocator<Position> > >::~__new_allocator() [278]
                0.00    0.00       1/3           std::__new_allocator<std::pair<int, int> >::~__new_allocator() [309]
                0.00    0.00       1/1           std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::begin() [410]
                0.00    0.00       1/1           std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~vector() [411]
-----------------------------------------------
                1.28    0.00 1328440405/1328440405     std::vector<bool, std::allocator<bool> >::size() const [5]
[13]     7.1    1.28    0.00 1328440405         std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&) [13]
-----------------------------------------------
                0.40    0.00 664250750/1992691135     AntT::isAllowed(Position const&, Position const&) [4]
                0.80    0.00 1328440385/1992691135     std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long) [10]
[14]     6.7    1.21    0.00 1992691135         std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::size() const [14]
-----------------------------------------------
                0.00    0.00      20/1328440445     std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [24]
                0.79    0.36 1328440425/1328440445     std::vector<bool, std::allocator<bool> >::begin() const [9]
[15]     6.3    0.79    0.36 1328440445         std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [15]
                0.36    0.00 1328440445/2656881015     std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [27]
-----------------------------------------------
                0.00    1.05       1/1           GraphT::generateGraphT(int) [12]
[16]     5.8    0.00    1.05       1         std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::vector(unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [16]
                0.00    1.05       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_fill_initialize(unsigned long, std::vector<bool, std::allocator<bool> > const&) [19]
                0.00    0.00       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_S_check_init_len(unsigned long, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [70]
                0.00    0.00       1/1           std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_Vector_base(unsigned long, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [359]
-----------------------------------------------
                0.00    1.05      20/20          void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&) [18]
[17]     5.8    0.00    1.05      20         std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [17]
                0.00    0.81      20/20          std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [24]
                0.00    0.24      20/21          std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [35]
                0.00    0.00      20/1328440405     std::vector<bool, std::allocator<bool> >::size() const [5]
                0.00    0.00      20/1328440425     std::vector<bool, std::allocator<bool> >::end() const [8]
                0.00    0.00      20/1328440425     std::vector<bool, std::allocator<bool> >::begin() const [9]
                0.00    0.00      20/21          std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&) [98]
                0.00    0.00      20/20          std::vector<bool, std::allocator<bool> >::begin() [104]
                0.00    0.00      20/20          std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator() const [230]
                0.00    0.00      20/21          std::__new_allocator<bool>::~__new_allocator() [225]
                0.00    0.00      20/62          std::__new_allocator<unsigned long>::~__new_allocator() [203]
-----------------------------------------------
                0.00    1.05      20/20          std::vector<bool, std::allocator<bool> >* std::__do_uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [20]
[18]     5.8    0.00    1.05      20         void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&) [18]
                0.00    1.05      20/20          std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [17]
                0.00    0.00      20/705385      operator new(unsigned long, void*) [113]
-----------------------------------------------
                0.00    1.05       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::vector(unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [16]
[19]     5.8    0.00    1.05       1         std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_fill_initialize(unsigned long, std::vector<bool, std::allocator<bool> > const&) [19]
                0.00    1.05       1/1           std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n_a<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > >&) [22]
                0.00    0.00       1/6           std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_get_Tp_allocator() [283]
-----------------------------------------------
                0.00    1.05       1/1           std::vector<bool, std::allocator<bool> >* std::uninitialized_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [21]
[20]     5.8    0.00    1.05       1         std::vector<bool, std::allocator<bool> >* std::__do_uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [20]
                0.00    1.05      20/20          void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&) [18]
                0.00    0.00       1/1           std::_UninitDestroyGuard<std::vector<bool, std::allocator<bool> >*, void>::_UninitDestroyGuard(std::vector<bool, std::allocator<bool> >*&) [386]
                0.00    0.00       1/1           std::_UninitDestroyGuard<std::vector<bool, std::allocator<bool> >*, void>::release() [385]
                0.00    0.00       1/1           std::_UninitDestroyGuard<std::vector<bool, std::allocator<bool> >*, void>::~_UninitDestroyGuard() [387]
-----------------------------------------------
                0.00    1.05       1/1           std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n_a<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > >&) [22]
[21]     5.8    0.00    1.05       1         std::vector<bool, std::allocator<bool> >* std::uninitialized_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [21]
