Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     17.99     0.00    22538     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00     17.99     0.00    22538     0.00     0.00  std::vector<Position, std::allocator<Position> >::operator[](unsigned long) const
  0.00     17.99     0.00    22538     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00     17.99     0.00    22538     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00     17.99     0.00    22538     0.00     0.00  std::log(long double)
  0.00     17.99     0.00    11747     0.00     0.00  std::vector<Position, std::allocator<Position> >::end() const
  0.00     17.99     0.00    11747     0.00     0.00  std::vector<Position, std::allocator<Position> >::begin() const
  0.00     17.99     0.00    11727     0.00     0.00  std::vector<Position, std::allocator<Position> >::empty() const
  0.00     17.99     0.00    11498     0.00     0.00  Position::operator==(Position const&) const
  0.00     17.99     0.00    11436     0.00     0.00  void std::_Destroy<Position*>(Position*, Position*)
  0.00     17.99     0.00    11358     0.00     0.00  std::__new_allocator<Position>::~__new_allocator()
  0.00     17.99     0.00    11336     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::~_Vector_impl()
  0.00     17.99     0.00    11336     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::~_Vector_base()
  0.00     17.99     0.00    11336     0.00     0.00  std::vector<Position, std::allocator<Position> >::~vector()
  0.00     17.99     0.00    11311     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl_data::_Vector_impl_data()
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00     17.99     0.00    11291     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00     17.99     0.00    11291     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00     17.99     0.00    11291     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00     17.99     0.00    11291     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00     17.99     0.00    11291     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     17.99     0.00    11290     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::_Vector_impl()
  0.00     17.99     0.00    11290     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_base()
  0.00     17.99     0.00    11290     0.00     0.00  std::vector<Position, std::allocator<Position> >::vector()
  0.00     17.99     0.00    11271     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00     17.99     0.00    11271     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00     17.99     0.00    11270     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     17.99     0.00    11270     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00     17.99     0.00    11270     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00     17.99     0.00    11270     0.00     0.00  void std::_Construct<double>(double*)
  0.00     17.99     0.00    11270     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00     17.99     0.00    11270     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     17.99     0.00    11270     0.00     0.00  void std::__fill_a1<double*, double>(double*, double*, double const&)
  0.00     17.99     0.00    11269     0.00     0.00  AntT::nextPosition(Position const&)
  0.00     17.99     0.00    11269     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00     17.99     0.00    11269     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00     17.99     0.00    11269     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00     17.99     0.00    11269     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
